category,total_customers,discount_rate_pct,avg_order_value,avg_review_score,avg_90d_ltv,repeat_rate_pct
electronics,2507,75.3,56.81,4.07,72.47,2.9
food,436,63.5,57.58,4.26,75.82,4.6
books_technical,255,71.1,71.11,4.39,77.48,1.6
food_drink,219,75.8,55.55,4.37,83.01,5.5
books_general_interest,490,64.6,84.36,4.51,99.25,3.1
fashion_bags_accessories,1757,75.1,75.23,4.19,101.02,8.7
telephony,4047,80.6,69.95,3.99,106.1,3.3
stationery,2250,64.4,90.75,4.25,106.13,3.6
fashion_shoes,234,70.8,89.5,4.29,110.55,7.3
home_appliances,688,73.6,104.55,4.22,118.63,10.5
market_place,273,71.5,91.13,4.07,122.42,4.4
housewares,5681,69.8,90.6,4.11,131.84,4.8
toys,3763,69.9,116.94,4.21,132.29,4.0
perfumery,3050,60.1,116.81,4.22,134.13,4.4
bed_bath_table,9008,64.1,93.44,3.92,137.74,6.3
pet_shop,1667,71.0,110.03,4.22,138.35,4.7
sports_leisure,7341,68.6,113.25,4.17,142.1,5.2
luggage_accessories,1013,64.5,128.79,4.35,145.55,3.9
furniture_decor,6178,67.6,87.25,3.95,146.88,7.1
health_beauty,8498,75.3,130.28,4.19,152.21,3.9
consoles_games,1014,75.9,135.91,4.14,152.59,3.1
baby,2783,73.5,134.28,4.08,153.37,4.0
audio,347,69.3,139.7,3.84,154.83,4.0
garden_tools,3420,80.1,110.24,4.08,159.45,4.6
drinks,282,80.3,59.64,4.12,167.75,8.2
home_confort,391,67.8,135.22,3.85,173.49,7.4
industry_commerce_and_business,230,84.5,145.28,4.13,177.36,3.5
cool_stuff,3543,66.6,164.12,4.19,178.4,3.1
auto,3769,69.5,139.85,4.12,178.64,3.3
computers_accessories,6405,65.4,116.26,3.99,183.75,4.1
home_construction,483,69.5,136.59,3.96,196.46,6.6
construction_tools_lights,242,62.8,132.75,4.08,203.94,5.0
kitchen_dining_laundry_garden_furniture,241,69.0,166.18,4.03,214.96,4.6
watches_gifts,5421,73.0,199.04,4.07,222.06,3.6
furniture_living_room,407,70.7,136.06,3.93,224.51,7.4
construction_tools_construction,732,74.7,155.14,4.09,234.24,4.4
air_conditioning,244,61.9,184.51,4.05,279.38,7.4
musical_instruments,607,73.0,283.13,4.22,309.49,3.1
office_furniture,1245,61.9,160.76,3.51,315.45,3.3
small_appliances,606,74.0,277.74,4.23,316.47,3.6
home_appliances_2,222,67.5,467.33,4.16,485.57,4.1
fixed_telephony,212,80.4,216.92,3.76,721.17,5.2
