year_month,orders,revenue,discount_pct
2017-01,740,110195.0,68.9
2017-02,1603,225702.0,68.1
2017-03,2496,352742.0,69.2
2017-04,2243,332221.0,67.6
2017-05,3467,478520.0,70.0
2017-06,3085,417021.0,71.2
2017-07,3824,478637.0,70.2
2017-08,4129,549731.0,71.8
2017-09,4091,601626.0,68.8
2017-10,4428,631926.0,69.8
2017-11,7187,973979.0,70.2
2017-12,5383,710536.0,69.1
2018-01,6901,903651.0,69.1
2018-02,6450,813745.0,71.7
2018-03,6884,936731.0,70.0
2018-04,6731,965546.0,69.6
2018-05,6716,974448.0,70.6
2018-06,6078,853691.0,69.4
2018-07,6121,863341.0,69.1
