customer_state,customers,avg_90d_revenue,discount_pct,avg_freight,freight_pct_of_price,late_pct
MT,844,209.89,63.0,28.12,19.1,6.0
MA,694,198.46,62.7,38.54,26.4,17.4
PA,905,195.1,59.8,35.51,22.2,11.2
CE,1245,193.18,63.5,32.79,21.3,13.8
GO,1850,187.34,69.3,22.64,18.4,6.5
BA,3120,182.66,65.9,26.48,19.7,12.2
MS,672,177.61,68.3,23.44,16.4,9.7
PE,1534,171.53,64.2,32.75,22.8,9.6
RJ,11745,169.54,68.1,20.96,16.8,12.1
RS,5095,169.1,69.0,21.61,18.1,6.1
SC,3397,164.2,69.3,21.57,17.4,8.2
PR,4703,161.14,69.8,20.52,17.4,4.0
ES,1912,158.43,69.0,22.08,18.2,10.7
DF,1990,157.52,69.0,21.13,16.7,5.7
MG,10848,156.02,69.2,20.67,17.2,4.6
SP,38652,144.69,72.9,15.14,13.9,4.5
